x,y,z,theta_0,theta_1
-0.827728,0.673498,0.360174,3.45654,6.02948
-1.14295,0.242065,0.555229,3.88344,5.77425
0.517368,-1.03133,-0.532906,0.120696,0.806018
-0.69326,-1.4899,-0.934215,4.87329,1.25789
1.46479,-2.40917,-0.573044,5.34957,2.19594
0.0554684,-1.16123,-0.546518,5.88153,0.766892
-1.02091,-2.63996,-0.557043,4.32262,2.64782
0.971299,-0.59124,0.505368,0.401725,5.81133
0.942437,-1.91439,-0.991009,5.48147,1.83494
1.29327,2.70685,-0.0121422,1.16384,3.06664
-0.0321321,-2.87983,0.474965,4.68584,4.00333
1.48361,0.898694,-0.964132,1.07433,1.99934
-2.51996,1.26695,-0.571608,2.71372,2.76353
-2.22178,1.68455,-0.615431,2.53701,2.70507
0.798424,2.57619,-0.716995,1.35931,2.56641
1.68356,-0.692337,0.983732,6.17814,5.07483
0.967242,0.655355,0.555304,1.63271,5.85885
1.00082,0.0308189,-0.0508511,1.22352,0.105575
-1.31893,2.67435,-0.1894,2.05787,2.89205
1.89916,-0.110566,0.995223,0.347979,5.1388
-0.135241,1.46056,-0.845994,2.12811,1.53822
1.00096,-1.80207,-0.998113,5.5531,1.81626
1.20984,2.30644,0.796612,1.38213,4.8257
-2.30013,-1.38732,-0.727488,3.80261,2.29672
0.966571,-0.258497,-0.032849,0.984855,0.0968366
-0.618739,-2.8972,-0.271163,4.45121,2.83349
2.74853,-0.338311,-0.638918,0.104355,2.3592
-2.62859,-1.33012,-0.32428,3.66408,2.91685
2.39649,-0.251861,0.912224,0.0690608,4.68059
1.30389,-2.14141,-0.861862,5.46466,1.94625
0.468052,-2.60933,-0.759101,4.96015,2.16577
2.25173,-1.89907,-0.325235,5.70341,3.05303
-0.955479,-1.03678,-0.807341,4.58354,1.11077
-0.819317,1.03776,0.735251,3.10903,5.75206
-1.12733,-0.202467,-0.519238,4.32486,0.503371
0.374708,2.5193,0.837123,1.69834,4.1966
0.516557,-2.9549,-0.0239607,4.89961,2.75986
0.879056,1.60087,-0.984805,1.44032,2.18144
-1.29737,-0.683771,0.845817,4.23504,5.50778
-2.80011,-0.642525,-0.487937,3.41291,2.86276
-0.832162,-1.55752,-0.97221,4.75564,1.29567
0.0988372,-1.49788,0.866681,5.43345,5.39833
2.23893,1.84813,-0.429275,0.882992,2.81857
-1.09621,-1.0954,0.892876,4.57938,5.44748
-1.3499,0.81033,0.904931,3.2429,5.55904
-2.24716,-1.96118,0.185682,3.82694,3.16454
-0.584812,-1.59242,-0.952804,4.97592,1.25708
-2.38726,-1.42155,0.627699,3.68609,3.67587
-0.316989,-2.93654,0.301072,4.58416,3.77493
-1.43207,-0.181143,-0.830833,4.01757,0.839902
-2.89955,0.689038,-0.197523,2.9641,3.03733
-0.668564,2.84222,0.392393,1.88771,3.24006
0.269315,2.04416,-0.998087,1.71248,2.26941
-0.718946,-2.00891,0.991025,4.6395,4.79145
-0.884286,-2.49108,-0.765552,4.39514,2.46654
1.00667,2.82297,0.0762308,1.21874,3.13214
2.30716,-0.41257,0.939057,6.26938,4.69297
-1.42043,-2.6286,-0.155533,4.16698,3.02217
-1.08883,-0.21634,-0.456175,4.38179,0.453463
1.45086,-2.2493,0.73632,5.38127,4.61775
-2.98881,0.253743,0.0296482,3.13034,3.23513
-1.14573,0.1745,0.540951,3.9351,5.77131
-0.0563148,1.08222,0.400453,2.66538,5.91482
0.56794,0.84866,-0.204654,1.88218,0.132011
-0.377032,-1.53308,-0.90695,5.19926,1.20563
1.43121,-2.13147,0.823444,5.42426,4.70158
-0.693995,-1.42338,0.909159,4.91128,5.42738
-2.0001,2.16175,0.326803,2.29988,3.0994
-2.6666,-1.37397,-0.0219651,3.62327,3.16453
-1.02517,-0.431542,0.460415,4.48724,5.854
1.44291,-0.607617,-0.900733,0.241282,1.66169
-1.35497,1.15469,0.975555,3.04131,5.49481
1.34015,2.25902,0.779321,1.33208,4.75531
1.67989,-1.63957,0.937722,5.66534,4.81864
2.36373,-1.83997,0.0952989,5.73159,3.74623
1.54783,0.484338,-0.925741,0.939278,1.92545
0.95816,2.84066,-0.0647372,1.22082,3.09398
-1.86016,-2.14456,0.544293,3.99369,3.45793
0.606009,-2.43342,0.861509,5.04451,4.76993
-1.81726,-1.44082,-0.947708,3.95944,1.96666
0.482709,1.25567,-0.755854,1.79494,1.53692
2.1777,1.9851,-0.322135,0.932162,2.85687
-1.3391,-0.0502763,0.751306,3.92993,5.59557
0.440267,-1.00851,0.436763,6.15738,5.81413
0.364316,1.73544,0.973957,2.02856,5.55444
2.07973,1.06186,-0.942174,0.795004,2.38525
-2.26109,-0.751123,0.923919,3.63629,4.54193
0.454681,1.18784,0.685459,2.19164,5.7095
1.33183,0.600577,-0.842295,1.08939,1.79437
0.415924,-2.82508,-0.517754,4.92186,2.27348
1.03191,-2.14976,-0.923085,5.40835,1.90871
-2.29677,1.70568,0.508839,2.47795,3.2322
-0.726449,2.55572,-0.753923,1.96572,2.62289
-0.382704,2.22406,-0.966478,1.95494,2.41823
-0.65294,0.779532,0.182847,3.38174,6.11447
-0.93557,-0.490909,-0.331496,4.70782,0.377868
